survey_utc,channel,center_hz,td_transform_uv2,device_psd_uv2
2025-07-17T00:45:30Z,TWO_THREE_LEFT,23.5,0.112138,0.587669
2025-07-17T00:45:30Z,TWO_THREE_LEFT,24.5,0.114847,0.622953
2025-07-17T00:45:30Z,TWO_THREE_LEFT,25.5,0.121022,0.659973
2025-07-17T00:45:30Z,TWO_THREE_LEFT,26.5,0.156533,0.683958
2025-07-17T00:45:30Z,TWO_THREE_LEFT,27.5,0.195768,0.707944
2025-07-17T00:45:30Z,ZERO_ONE_LEFT,7.5,1.19096,5.01787
2025-07-17T00:45:30Z,ZERO_ONE_LEFT,8.5,1.09213,4.84748
2025-07-17T00:45:30Z,ZERO_ONE_LEFT,9.5,1.08725,4.48495
2025-07-17T00:45:30Z,ZERO_ONE_LEFT,10.5,0.666927,4.29814
2025-07-17T00:45:30Z,ZERO_ONE_LEFT,11.5,0.562841,4.16567
2025-07-17T00:45:30Z,ZERO_ONE_LEFT,12.5,0.53741,4.39196
